Date,Opponent,Opponent Conference,Location,Result
"Wed, Nov 6, 2019",Northwestern State,Southland,Home,Win
"Mon, Nov 11, 2019",Louisiana-Monroe,Sun Belt,Home,Win
"Fri, Nov 15, 2019",Gonzaga,WCC,Home,Loss
"Wed, Nov 20, 2019",Troy,Sun Belt,Home,Win
"Thu, Nov 28, 2019",Harvard,Ivy,Neutral,Loss
"Fri, Nov 29, 2019",Temple,AAC,Neutral,Loss
"Sun, Dec 1, 2019",Fairfield,MAAC,Neutral,Loss
"Sun, Dec 8, 2019",Texas,Big 12,Neutral,Loss
"Sun, Dec 15, 2019",Texas A&M-Corpus Christi,Southland,Home,Win
"Sat, Dec 21, 2019",Oregon State,Pac-12,Home,Win
"Mon, Dec 30, 2019",Texas Southern,SWAC,Home,Win
"Sat, Jan 4, 2020",Arkansas,SEC,Away,Loss
"Tue, Jan 7, 2020",Mississippi,SEC,Home,Win
"Sat, Jan 11, 2020",Vanderbilt,SEC,Away,Win
"Tue, Jan 14, 2020",Louisiana State,SEC,Home,Loss
"Sat, Jan 18, 2020",South Carolina,SEC,Home,Loss
"Tue, Jan 21, 2020",Missouri,SEC,Away,Win
"Sat, Jan 25, 2020",Oklahoma State,Big 12,Home,Loss
"Tue, Jan 28, 2020",Tennessee,SEC,Away,Win
"Sat, Feb 1, 2020",Georgia,SEC,Away,Loss
"Tue, Feb 4, 2020",Missouri,SEC,Home,Win
"Sat, Feb 8, 2020",South Carolina,SEC,Away,Loss
"Wed, Feb 12, 2020",Florida,SEC,Home,Loss
"Sat, Feb 15, 2020",Georgia,SEC,Home,Win
"Wed, Feb 19, 2020",Alabama,SEC,Away,Win
"Sat, Feb 22, 2020",Mississippi State,SEC,Home,Win
"Tue, Feb 25, 2020",Kentucky,SEC,Home,Loss
"Sat, Feb 29, 2020",Louisiana State,SEC,Away,Loss
"Wed, Mar 4, 2020",Auburn,SEC,Away,Win
"Sat, Mar 7, 2020",Arkansas,SEC,Home,Win
