Date,Day,Opponent,Opponent Conference,Location,Result

"Aug 29, 2019",Thu,Texas State,Sun Belt,Home,Win

"Sep 7, 2019",Sat,(1)Clemson,ACC,Away,Loss

"Sep 14, 2019",Sat,Lamar,Non-DI School,Home,Win

"Sep 21, 2019",Sat,(8)Auburn,SEC,Home,Loss

"Sep 28, 2019",Sat,Arkansas,SEC,Neutral,Win

"Oct 12, 2019",Sat,(1)Alabama,SEC,Home,Loss

"Oct 19, 2019",Sat,Ole Miss,SEC,Away,Win

"Oct 26, 2019",Sat,Mississippi State,SEC,Home,Win

"Nov 2, 2019",Sat,UTSA,CUSA,Home,Win

"Nov 16, 2019",Sat,South Carolina,SEC,Home,Win

"Nov 23, 2019",Sat,(4)Georgia,SEC,Away,Loss

"Nov 30, 2019",Sat,(1)LSU,SEC,Away,Loss

"Dec 27, 2019",Fri,(25)Oklahoma State,Big 12,Neutral,Win

